2026	03	31	LU	MT	3	0	ECD		12	1436	1237	+4	âˆ’3	90	153
2026	03	31	BI	TD	4	0	FQ		12	1286	1073	+4	âˆ’1	142	176
2026	03	31	SW	ER	1	2	FQ		-26	1148	1201	âˆ’2	+1	163	159
2026	03	31	ET	ST	1	0	FQ		5	1285	1035	+1	0	144	181
2026	03	31	MU	SO	0	0	FQ		-11	1073	979	0	+2	176	189
2026	03	31	BT	BN	2	1	SQ	IN	22	637	633	+4	âˆ’2	228	229
2026	03	31	IN	HK	2	1	SQ		15	1138	1121	+4	âˆ’3	165	169
2026	03	31	LA	NP	1	0	SQ		26	734	893	+5	âˆ’4	214	201
2026	03	31	MV	TL	2	1	SQ		7	848	673	+2	âˆ’1	203	225
2026	03	31	PK	MM	1	2	SQ		-18	812	982	âˆ’1	+4	209	188
2026	03	31	SG	BD	1	0	SQ		6	1137	932	+1	âˆ’1	167	196
2026	03	31	SY	AF	5	1	SQ	SA	5	1491	1011	+1	0	83	183
2026	03	31	TW	LK	1	3	SQ		-44	822	827	âˆ’6	+3	208	207
2026	03	31	TJ	PH	1	1	SQ		-12	1285	1168	âˆ’7	+1	144	161
2026	03	31	TH	TM	2	1	SQ		8	1376	1209	+5	âˆ’1	109	156
2026	03	31	VN	MY	3	1	SQ		20	1351	1293	+9	âˆ’7	117	138
2026	03	31	AU	CW	5	1	FFS		4	1782	1436	+2	0	26	90
2026	03	31	CM	CN	2	0	FFS	AU	13	1614	1423	+1	âˆ’6	61	97
2026	03	31	KZ	KM	1	0	FFS		9	1430	1363	+5	âˆ’4	93	114
2026	03	31	DZ	UY	0	0	F	IT	4	1743	1892	0	âˆ’2	35	15
2026	03	31	AR	ZM	5	0	F		0	2113	1371	0	0	2	112
2026	03	31	AT	KR	1	0	F		6	1827	1752	0	âˆ’1	23	32
2026	03	31	BE	MX	1	1	F	US	0	1867	1857	0	+1	19	20
2026	03	31	BJ	GN	1	0	F	MA	12	1429	1469	+6	âˆ’1	94	86
2026	03	31	BW	MW	1	0	MKR		11	1267	1241	+1	âˆ’1	147	150
2026	03	31	BR	HR	3	1	F	US	14	1984	1931	+2	âˆ’1	5	10
2026	03	31	BF	GW	1	1	F		-8	1530	1248	âˆ’1	+2	78	149
2026	03	31	CA	TN	0	0	FT		-10	1784	1636	0	+3	25	58
2026	03	31	CR	IR	0	5	NSM	TR	-21	1613	1760	âˆ’3	+4	62	31
2026	03	31	EN	JP	0	1	F		-16	2020	1904	0	+1	4	13
2026	03	31	GQ	MG	1	1	F	TR	0	1391	1382	0	0	105	106
2026	03	31	HT	IS	1	1	FT	CA	2	1532	1571	+2	0	77	69
2026	03	31	HN	PE	2	2	F	ES	4	1571	1696	+2	0	69	47
2026	03	31	HU	GR	0	0	F		-2	1703	1752	âˆ’1	+1	45	32
2026	03	31	IE	NM	0	0	F		-5	1691	1589	âˆ’1	âˆ’1	49	67
2026	03	31	CI	SQ	1	0	F	EN	13	1676	1767	+1	âˆ’2	52	29
2026	03	31	JO	NG	2	2	NSM	TR	3	1690	1752	0	0	50	32
2026	03	31	LR	LY	2	2	F	MA	4	1297	1420	+2	âˆ’5	137	99
2026	03	31	ME	SI	2	3	F		-6	1440	1694	âˆ’1	+1	89	48
2026	03	31	MA	PY	2	1	F	FR	11	1821	1833	0	0	24	22
2026	03	31	NL	EC	1	1	F		-4	1961	1933	0	+1	8	9
2026	03	31	NO	CH	0	0	F		-4	1912	1889	0	0	12	16
2026	03	31	RU	ML	0	0	F		-7	1776	1596	âˆ’1	âˆ’1	27	65
2026	03	31	SM	AD	0	0	F		4	836	1077	+1	+2	206	175
2026	03	31	SN	GM	3	1	F		1	1879	1423	0	âˆ’3	17	97
2026	03	31	RS	SA	2	1	F		3	1769	1568	+1	âˆ’1	28	71
2026	03	31	SK	RO	2	0	F		10	1673	1627	0	âˆ’2	53	60
2026	03	31	ZA	PA	1	2	F		-7	1524	1737	âˆ’1	+2	79	36
2026	03	31	ES	EG	0	0	F		-9	2165	1689	0	0	1	51
2026	03	31	TG	NE	1	0	F	MA	12	1359	1393	+3	âˆ’2	115	103
2026	03	31	UA	AL	1	0	F	ES	7	1767	1646	+1	âˆ’1	29	56
2026	03	31	US	PT	0	2	F		-9	1721	1984	âˆ’3	0	41	5
2026	03	31	WA	EI	1	1	F		-5	1698	1600	âˆ’1	âˆ’1	46	64
